Text_Final;Organisation;Environnement;Communication;Technique
excellence des soins;0;0;0;1
Medecin tres a l ecoute du patient;0;0;1;0
la clarté du résultata exposé.;0;0;1;0
Professionnalisme des personnes rencontrées.;0;0;1;1
Compréhension des gestes à faire compte-tenu des douleurs;0;0;1;0
j'ai pu faire des examens pour clarifier mon état de santé.<LF>Très bonne expérience avec la psychologue. <LF>le medecins interne et externe du service de tres bonne écoute et clairs dans leurs explications.<LF>La dieteticienne très à l'ecoute et reactive, excellente!;0;0;1;0
Une prise en charge optimale en salle de naissance pour mon nouveau né et moi-même avec une équipe très à l'écoute<LF>Sage femmes, infirmières, aides soignantes et pédiatre à l'écoute en suites de couches;0;0;1;1
gentillesse, sourire, accueil des personnes en charge de la radiothérapie et de l'accueil;0;0;1;0
Le médecin est impliqué et travailleur mais l'hôpital ne lui donne visiblement pas tous les moyens nécessaires pour accomplir sa tâche dans les meilleures conditions. Il faut donner plus de budget pour l'hôpital et stopper la mise en  concurrence des services qui gangrène le service public!!!<LF>Le personnel encadrant le médecin est tout aussi très professionnel;1;0;1;0
Tout le personnel sage-femme/infirmières/auxiliaires/pediatre rencontré extrêmement bienveillant, à l'écoute.<LF>Mention toute spéciale aux sages femmes adorables<LF>Bon repas très complets;0;1;1;0
Je suis venue 25 fois dans le service, tous les jours. Ce qui est difficile est le temps d'attente (parfois 2H), d'autant plus que je travaillais en meme temps.;1;0;0;0
RECU 1H30 EN RETARD LE MEDECIN TRES DESAGREABLE JE NE POUVER PAS M'EXPLIQUER sur mon problème de santé c'est débarrasser de moi en me donnant un tas d'examens a faire sans me rassurer ou me donner l'ombre d'une explication sur se qui m'arrive et carrément a insulter mon intelligence avec c'est mots je sui en retard et je ne sui pas magicienne alors que c'est bien un médecin que je venait voire et pas un magicien je sui ni fou ni un îdiô quant a sont retard sur sont emploie du temps c'est bien moi qui et étais reçu1h30 en retard alors que je sui arriver 1h en avance sur L'heure de mon RV je sui donc dans une détresse physique et morale mais jais des examens a faire donc je comprend pas pourquoi on fait médecin quand on et pas humain surement pour l'argent c'est vile et fallacieux bref je ne l'heure souhaite pas de souffrir comme je souffre mais cela les rendrais peut être plus humain modeste et sympatique et professionnelle;1;0;1;0
A la 1ère consultation, le médecin a été vraiment à notre écoute. Il a calmé nos angoisses même s'il n'avait pas les réponses à tout. Il a pris le positif pour bâtir avec. Pour la 1ère fois, nous avons eu un médecin qui ne s.abritait pas derrière un <QT>on ne peut pas savoir<QT> mais un médecin qui nous accompagnait pour agir et progresser.;0;0;1;0
transfére faute de place  aPaul castaigne en oncologie service trés bruyant;0;0;0;1
La sympathie et l'attention de l'ensemble du personnel de l'hôpital.;0;0;1;0
Accueil très froid car manque de lits et d'organisation entre les services<SEP> Mauvaise communication, brancardiers qui se plaignent, ne savent pas ou aller. J'ai eu le sentiment d'être un colis... le stress du patient monte au fur et à mesure<SEP> Douchée à 10 heures, opérée à 18 heures. En état de grand stress avant l'opération car laissée sans information, sans chambre attribuée, ballotée .... Et vers 17 heures, je pleure et je n'arrive plus à me calmer<SEP> J'ai même été tenté de quitter l'hôpital.En conclusion, il faudrait gérer le stress des patients qui s'ont opéré en fin de journée.<LF>Enfin, le lendemain, à quoi cela sert de venir à 20 internes accompagné du grand chef dans la chambre pour nous déclamer notre dossier médical alors qu'il semble impossible de poser une question ? Un grand moment de cirque ou de théâtre? Très risible et pas crédible. Il serait préférable d'avoir un entretien avec notre chirurgien, en toute intimité. Je suis repartie de l'hôpital sans avoir pu poser une seule question ....;0;1;1;0
Efficacité et compétence;0;0;1;1
Nous avons été surpris d'une manière très désagréable par l’état du bâtiment ou nous avons fait la consultation. j’espère sincèrement qu'ils vont être remis à neuf car pour nous le personnel de se service mérite d'avoir des locaux correct.;1;1;0;0
Rien à signaler;0;0;1;0
Lors de mon appel pour prendre rendez-vous pour une consultation suivi de cancer de la thyroïde, la personne n'était absolument pas coopérative et à chaque demande d'information elle n'arrêtait pas de me dire qu'elle ne savait pas! Une 20ène de fois...Que ce n'était pas elle...!!! au 2ieme appel pareil et là j'ai perdu patience mais elle n'a pas compris pourquoi! elle a fini par me passer qq de compétant et j'ai enfin pu obtenir une réponse pour mon RV;0;0;1;1
LA CENTRALE TELEPHONIQUE EST CATASTROPHIQUE. ON VOUS BALLADE SUR N'IMPORTE QUEL SERVICE ET PAS TOUJOURS AIMABLE (ORPHEE)<LF>J'AURAI SOUHAITE QUE L'ON ME DONNE DES INFORMATIONS AVANT D'ENTAMER MA RADIOTHERAPIE, LES EFFETS INDESIRABLES ET CERTAINES PRECAUTIONS (ex: je n'ai su qu'à la fin du traitement qu'il fallait porter des sleeps en coton...etc);0;0;1;0
J'ai été hospitalisée pendant 3 mois dans différents services et j'ai toujours été satisfaite par la prise en charge médicale qui m'a été réservée, la gentillesse et la disponibilité des médecins et de l'équipe médicale;0;0;1;1
Equipe médicale compétente et paramédicale relativement satisfaisante.;0;0;0;1
Le retard de plus d'1h30 du à  l'absence du médecin.;1;0;0;0
RAS -;0;1;0;0
Impossibilité pour mon fils de rencontrer un médecin pour parler de l'opération et de tout ce qui en découle. Je n'étais pas capable de restituer les informations que l'on me donnait, assez rares d'ailleurs.;0;0;1;0
Je venais malheureusement pour un IVG en Urgence. Aucune explications, délai d'attente y<EQ>très long qui a fait monté le stress avant l'intervention. Je suis arrivée à Jeun à 7h15 pour être prise en charges à 11h40 au bloc et n'ai donc rien avalaé enceinte de 20h la veille à 17h le jour de l'intervention. en attendant mon tour en salle de réveil j'en avais mal à l'estomac de faim en plus du stress et de la tristesse de cette intervention. Résultat j'étais tres nouée lors de l'intervention, ils ont eu du mal à mettre le tube et j'ai eu plein de douleurs qui n'avaient rien avoir avce mon intervention apres. Gorge coup, nuque côtés poumon etc...  Je suis contiente d'avoir eu une bonne équipe de médecin par contre c'était tres dure et ca a vraiment manqué d'humanité;1;0;0;1
mon R.V contrôle avait,comme d'habitude un caractère très agréable d'un professionnalisme médicale affirmé. Je suis très satisfait !;0;0;1;1
c'etait la 7é fois que je passe sur le billard;0;0;0;1
La compétence  et la grande amabilité  de mon médecin.  Je suis rassurée  d être  <LF>Soigné  par elle.;0;0;1;1
Bonne écoute et conseils très utiles;0;0;1;0
le report de la consultation suite à une urgence du médecin meme si je comprends;1;0;0;0
Consultation très bénéfique, même si je dois faire une heure trente de transport, la prise en charge de ma maladie, dans cette hopital a été plus rapide étant donner la compétence du Médecin  !!;0;0;0;1
une très mauvaise qualité au niveau des repas.<LF>ceci est vrai que l'on viens pour se faire soigner et pas pour festoyer.;0;0;0;1
L'accueil et la consultation avec ma neurologue s'est parfaitement déroulé comme à chaque rendez-vous. Cette femme est très compétente et exceptionnellement humaine (qualité souvent manquante). De plus elle est très à l'écoute et très explicite sur les diférents traitements.;0;0;0;1
Le personnel est très sympathique et compétent;0;0;1;1
Suivi en kinésithérapie trop faible (peu de passage et trop rapide )<LF>Discussion dans le couloir devant la chambre du personnel de nettoyage (prestataire externe) qui gêne le repos;0;1;0;0
Plus d'une heure d'attentes pour un RDV au bout de 15 jours sur un traumatisme, c'est trop long.;1;0;0;0
rien je pensais pas que mon séjour se passerai comme ça malgré que j avais reçu chez moi un courrier m expliquant le déroulement de mon sejour et dés examens que j aurai pendant mon séjour ou alors j avais pas compris ce qui m était expliqué dans ce courrier ce qui est possible car j ai certains probléme depuis une paralysie faciale que j ai eu il y a quelque année. je vous précise que j étais dans le service de pathologie du sommeil;0;0;1;0
L'ensemble de la consultation;1;0;0;0
Rien de négatif pour ma pars;0;0;0;1
Le personnel soignant est très compétent et à l'écoute du patient;0;0;1;1
Compétence ok;0;0;0;1
Le temps d'attente pour la caisse en sortant. Mais il m'a paru que le personnel a fait tout ce qui était possible pour réduire le temps d'attente.;1;0;0;0
l'attente pour passer un audiogramme;0;0;0;1
médecin de grande qualité;0;0;0;1
Je n'ai aucune remarque négative à formuler.;0;0;1;0
grande drieisponibilité, écoute du personnel administratif et médical;0;0;1;0
SEUL REPROCHE LA RESTAURATION QUI EST ENTRE LE MAUVAIS ET FRANCHEMENT DEGUEULASSE;0;1;0;0
j'ai eu des difficultés à trouver l'entrée du service de chirurgie maxilo.;1;0;0;0
Il ne s'agit pas d'un séjour mais d'une visite médicale service pneumologie,<LF>médecin très au fait de sa profession.;0;0;1;0
La configuration de l'hôpital est à revoir, dans l'idée de faciliter les déplacements des consultants en difficulté de mobilité. Opéré en ambulatoire, je suis sorti sur béquilles et ai dû parcourir le long (très long dans ce cas) couloir d'accès à la sortie. (tapis roulants ?).;0;1;0;0
L'amabilité du personnel et la prise en compte des symptômes liés à la maladie,en terme de réactivité.;0;0;0;1
Lacceuil;0;0;0;1
Sérieux du médecin;0;0;1;1
rien à dire;0;0;1;0
la consultation avec le médecin;0;0;0;1
Bonne prise en charge à tous les niveaux;0;0;0;1
Je regrette très fortement qu'on ne m'a pas donné lors du rdv pré opératoire les effets indésirables majeurs post opératoire (en l'occurrence lymphodème pour un curage axillaire). Egalement lors de cet entretien, on m'a indiqué de prévoir mes congés dans les jours qui suivaient la chirurgie en omettant de me dire que j'aurai besoin de soins infirmiers pendant un mois. Pourquoi un doc explicatif n'est il pas fournit au patient préalablement à cette chirurgie (mais uniquement à la sortie). Pourquoi les informations des médecins ne sont distillés que si on pose des questions pertinentes (questions pertinentes qui nécessite au patient de se renseigner par Internet, par des livres ... pour pouvoir les poser sachant qu'on est néophyte quitte à nous rendre <QT>cybercondiaque<QT>). quand le patient veut savoir, pourquoi cette rétention d'information ?;0;0;1;1
Accueil et entretien avec le médecin;0;0;1;0
L'accueil.;0;0;0;1
Une prise en charge excellente ! Professionnels de santé disponibles et très agréables.;0;0;1;1
pas ou peu d'explication sur la manipulation de l'orthèse, son entretien, à quoi servent certains éléments.<LF>Hôpital qui apparaît vieillot, sale, peu accueillant. Pas de chaise dans le cabinet médical si ce n'est le fauteuil de soins. Rien pour poser son manteau ou son sac.;0;1;0;0
problemes d hygiene<LF>rien a dire sur le medical;0;0;1;0
Aucun point négatif.;0;0;1;0
Manger dans le couloir afin de libérer la chambre pour que le personnel de nettoyage puisse la faire rapidement;0;1;0;0
Service chirurgies bucca formidable<LF>Ainsi que tout le personnel soignant<LF>Par ailleurs un très bon accueil au secrétariat de la chirurgie plastique j.ai rencontrer et pu apprécier une super équipe .<LF>Très contente de mon séjour.;0;0;1;1
L'accueil et le personnel;0;0;1;0
Compétences du stomatologue qui m'a opérée, sa gentillesse, son écoute. Secrétariat et personnel médical très agréables.;0;0;1;1
aucun intérêt, par mon médecin, aux symptômes que j'exposait non liés au maladie principale au quelle je suis suivi par ce médecin et qui entre dans<LF>sa spécialité.<LF><LF>;0;0;0;1
Excellentes équipes en obstétrique et néonatalogie (médecins, sages-femmes, infirmièr(e)s, aides-soignant(e)s...) à la Pitié Salpetrière...Grand professionnalisme et expertise.;0;0;1;1
Parfois, certains membres ne sont pas assez agréables et souriants. Dans le cas oà¹ ils ont des problèmes personnels, professionnels ou autres dans leur service, c'est compréhensible, mais si c'est de leur nature, c'est intolérable.;0;0;1;0
La fermeture du point d'accueil fermé pour cause de sécurité?<LF>Il me semble très facile pour quelques crapules de rentrer par la porte qui<LF>est accessible. Cela augmente pour des personnes invalides un long trajet fatigant.<LF>Je peux cependant me tromper.;1;1;0;0
La gentillesse des professionnels;0;0;1;1
manque de personnel pour m'emmener dans les différents services.;0;0;1;0
service exellent . Je vais en consultation en toute quietude . Je suis suivie depuis le debut de ma maladie (2009)<SEP>les medecins sont ouverts et restent a mon ecoute .J'ai entierement confiance.;0;0;1;0
Rien n'a été désagréable dans le fonctionnement du service.;0;1;1;0
rien de spécial;0;0;0;1
Le bruit permanent dans les couloirs, le personnel parle fort alors que l'on doit se reposer. La personne dans la chambre à côté faisait aussi beaucoup de bruit<LF>Les repas en général pas bon. Une fois j'ai même eu du moisi dans ma compote...;0;1;0;0
prise en charge et le sourir du personnel. Merci a eux.;0;0;1;0
ECOUTE DU MEDECIN SURTOUT COTE DOULEUR<LF>EXCELLENTE COMMUNICATION SUR L AVANCEMENT DE SOIN ET PERSPECTIVES<LF>QUANT AU TAUX DE RECUPERATION MOTRICE <LF>REACTIVITE AVEC PLAN DE SUIVI PERSONNALISE SUITE A L ECHANGE;0;0;1;1
L 'accueil<SEP>la compétence les soins;0;0;0;1
Parking facile à mon arrivée. Il n'y avait pas de <QT>foule<QT> dans la salle d'attente. Les sièges étaient confortables. Possibilité de boire de l'eau. L'attente a été courte. Mes interlocuteurs souriaient.;0;1;0;0
Rien de particulier pour cette consultation en chirurgie digestive.;0;0;0;1
télévision allumée toute la nuit par un voisin de chambre bruyant;0;1;0;0
Les explications précises sur la maladie ainsi que sur l'interprétation des résultats des tests d'analyse génétique. Très positifs aussi les conseils prodigués quant au suivi et au traitement, les paroles rassurantes sur la qualité de mon suivi par mon généraliste et mon cardiologue. Positifs enfin les demandes de suivre mes enfants sans doute porteurs du même problème génétique que le mien.;0;0;1;1
L'ECOUTE ET CONSEILS DES PROFESSIONNELS<LF>AMABILITE DU PERSONNEL;0;0;0;1
Le sérieux, la courtoisie.;0;0;1;0
La mauvaise prise escompte de la douleur. La désorganisation de la gestion des repas (un repas non servit !);0;1;0;0
Globalement, je suis plutôt satisfaite : pas d'attente, médecin patient et à l'écoute;0;0;1;0
Attente de certaine consultation un peu longue. Mais pour avoir eu une urgence il y a 2 ans en gynécologie, je comprends parfaitement le caractère prioritaire des médecins certains jours;1;0;0;0
Ecoute, Prise en compte de ma maladie,Efficacité, compétence, Bel arsenal thérapeutique qui m' a été proposé, Dynamisme dans les protocoles pour faire avancer la recherche, Ce service et son professeur entête m'a <QT>sauvé la vie<QT> au sens que je peux mener une vie normale, faire du sport, rester indépendante malgré le handicap qu'apporte ma maladie. Bravo;0;0;1;1
facilité d'accès;0;0;1;0
Rapidité de passage<LF>Explications médicales;0;0;0;1
Compétence et réactivité des médecins;0;0;1;1
le personnel est compétent rt tres aimable.;0;0;1;1
convoqué à 7h00 à jeun pour une prise en charge à 11h00 en ambulatoire.prévue à 09h00)<LF><LF>La raison : une réunion à 08h30!!!!<LF>Attente interminable,;1;0;0;0
Le professionnalisme des médecins sur la génétique;0;0;1;1
Médecin très compétent,amabilite certaine secrétaire et infirmiers;0;0;1;0
Le medecin et l'interne qui m'a prise en charge etaient vraiment tres gentilles douce a l'ecoute a toutes mes questions et inquietudes;0;0;1;1
peut etre ça exit des choses négatif , Mais je ne voir pas , <LF>en tout cas , c'est positif ,plutôt tres positif chrz votre HOPITAL;0;0;1;0
le patient n'était qu'un objet que le trajet qu'il avait à  faire pour venir n'avait aucun intérêt que le patient n'avait pas le droit d'être en retard mais le médecin oui et sans excuser. J'ai fait 5 heure de route pour ne pas être reçut par se médecin qui est arrivée en retard et m'a fait attendre 2 heure pour me dire que je n'attendais pas au bon endroit. Celui qui m'avait été donné par la personne de l'accueil.;1;0;1;0
Gentillesse du personnel infirmier;0;0;1;0
Bonjour L'attente est beaucoup trop longue + de 3 heures de retard (pour une personne normale c'est très difficile mais pour un enfant handicapé c'est insupportable);1;0;0;0
inutile de réveiller les patients à 5h.30 du matin pour bruyamment changer une poubelle<LF>la nourriture ne donne pas envie de manger alors que les patients en ont besoin...;0;1;0;0
Attente un peu longue dans un couloir aménagé très sommairement...;1;1;0;0
Le staf medical et les personnels soignants.;0;0;1;0
Manque de communication et d'explication;0;0;1;0
L'intervention chirurgicale;0;0;0;1
Le fait que chaque interlocuteur se présente et explique pourquoi il intervient, et comment.<LF>La gentillesse du personnel.;0;0;1;0
Médicaments donnés décachetés (donc sans pouvoir les identifier: risque d'erreur!) dans un gobelet et sans explications sur les deux cachets inconnus de moi. Et le soir, oubli de mon traitement que j'ai du réclamer à 21h30, l'infirmière m'a alors dit que je les avais déjà eu (c'est ce que le système informatique lui disait)!<LF>Par chance, elle m'a cru et me les a donc finalement donné...;0;0;1;0
les locaux tristes et usagés.;0;1;0;0
Mon medecin apporte calme, serenité, confiance, une grande professionnel<LF>C'est un placebo, vous ressorter de la consultation guérie, c'est trop beau..<LF>C'est un centre hospitalier qui donne confiance;0;0;1;0
Super accueil et grand professionnalisme du personnel soignant comme du personnel d'accompagnement. Le service public dans toute sa force. Avec toute ma reconnaissance et ma gratitude.;0;0;1;1
Très bon accueil de la secrétaire et du médecin;0;0;1;0
pas assez d homme dans les services pour aide;0;0;1;0
Pas trop d'attente. Médecin à l'écoute.;0;0;1;0
aucun à ce jour;0;0;1;0
professionnalisme du docteur <LF>écoute accueil explications <LF>prend son temps avec le patient.<LF>intervention rapide<LF>gentillesse du personnel (infirmière à personne qui nettoie)<LF>chambre individuelle grande;0;0;1;1
passer par mail si traitement apporte de problèmes physiques et psychologiques et être obliger de s orienter vers hôpital qui ne connais pas dossier;0;0;1;0
L'automatisation de la gestion des rendez vous à l'accueil;1;0;0;0
bonnes prise en charge par le personnel infirmier<LF>bonnes explications en général;0;0;1;1
C'est un nouveau médecin qui a repris le suivi médical. Elle avait parfaitement étudié le dossier, elle a pris le temps de m'examiner et d'expliquer. <LF>Cela établit la confiance, ce qui est essentiel !;0;0;1;0
J'ai été rassurée et en confiance;0;0;1;0
Infermier de nuit désagréable<LF>Refuse de me donner des médicaments que elle oubliée de me donner car elle avait fini son service. Sorti trop précipité en 15 min on me mit a la porte !;0;1;0;0
La personne à l'accueil ce jour là sachant qu'elle était seule, sa gentillesse malgré le monde!!!<LF>La consultation de mon chirurgien c'est pour lui que je suis venue.;0;0;1;0
L'amabilité, la gentillesse.;0;0;1;0
C'était une attente interminable et ereintante;0;0;0;1
Professionnalisme de toute l'équipe.;0;0;0;1
mon état de santé est meilleur;0;0;0;1
le dévouement et l'excellence professionnelle des personnels soignants, en particulier les infirmiers et infirmières, et la très bonne qualité de la chambre;0;0;1;1
L'impossibilité de stationner dans l'enceinte de l'hôpital quand on vient de banlieue et que l'on a pas droit à un bon de transport.;0;1;0;0
perso,nnel médical tres ge,til;0;0;1;1
Le médecin nous examine sans regarder l'heure. Il cherche à comprendre et à faire le bon diagnostique.;0;0;1;0
La certitude d'être bien pris en charge, et l'amabilité globale des équipes, qui met en confiance alors que le moment vécu n'est pas forcément agréable;0;0;1;0
DEPUIS QUE MA FILLE A ETE OPERE (IL Y A 13 ANS) PAR LE DOCTEUR XX ELLE SE PORTE BIEN. MERCI POUR TOUT : LES COMPETENCES DE LA CHIRURGIENNE ET LA GENTILESSE DU PERSONNEL;0;0;1;1
La gentillesse du service de soins et leurs competences en chirurgie thoracique et en pneumologie.;0;0;1;1
Hôpital propre. Aides soignantes et infirmières d'une grande gentillesse, aidantes, à  l'écoute. Je regrette toutefois de ne pas avoir eu la visite d'un kinésithérapeute lors de mon sejour, personne apparement en vacances.Très Bin rapport avec le neurochirurgien et anesthésiste qui explique vraiment précisément les actions appliquées pour l'opération.  Bilan plutôt positif.;0;0;1;0
beaucoup d ecoute et de gentillesse  du personnel hospitalier.....pret a rendre service malgre la surcharge de travail de chacune;0;0;1;0
disponibilité du personnel,courtoisie.;0;0;1;0
DES REPONSES AUX QUESTIONS POSEES AUX SOIGNANTS QUI PEUVENT ETRE DIFFERENTES ET LAISSE PERPLEXE LE PATIENT;0;0;1;0
La disponibilité des médecins et des infirmiers/aides soignants. Le Père Noël qui est passé dans le service ce qui a allégé la douleur et la journée.;0;0;1;0
généralement BON;0;0;0;1
Accueil de consultation avec une seule personne alors que nombreux patients ayant RDV donc attente longue (alors que des examens sont prévus avant la visite du médecin);1;0;1;0
l'attente sans information;0;0;0;1
temps d'attente trop important,locaux tres vieillissant,certain membre du personel desagreable.;0;0;1;0
Une inhumanité certaine, sans doute liée à l'organisation générale :<LF>Avec la personne qui vous a prise en charge à l'instant T il ne peut rien vous arriver de fâcheux. Par contre tout le personnel qui ne vous a pas directement en charge vous ignore totalement. Par ailleurs, énormément d'attentes de toute nature.;0;0;0;1
bon acceuilje verrais lors de non hospi fin octobre;0;0;1;0
Signalisation minable, parfois erronée. Difficile de trouver l'immeuble où a lieu le R-V sans l'aide du plan remis à la prise de R-V.<LF>Le SMS rappelant le R-V à l'avance ne m'est pas parvenu.;0;1;0;0
l'accueil du médecin,;0;0;0;1
On s'est occupé de moi quand je l'ai désiré.;0;1;0;0
L'écoute;0;0;1;0
J'ai obtenu les informations que je souhaitais sur ma maladie (débutante), la confirmation du diagnostic fait par mon médecin traitant et des conseils sur la suite à donner. L'accueil par le personnel et le médecin a été chaleureux et efficace. J'ai une impression très positive du service consulté.;0;0;1;0
Les infirmiers et aides-soignants de la nuit ont été très présents. C'était là où le risque hémorragique était le plus fort donc ce fut rassurant de les savoir très disponibles.;0;0;1;0
dans  tout  l'ensemble on ne peut  RIEN reprocher a toute cette  très bonne  organisation générale Ah  si tous  les  hôpitaux du  monde  fonctionnait  aussi  bien ,il y aurait  peut-être  moins  de  patients  critiques  . . . et surtout  moins  d'étrangers qui  nous  emm . . . .que les  insatisfaits aillent  voir  ailleurs !. . . .;0;0;1;0
la compétence des praticiens,le matériel de pointe,la gentillesse des infirmières;0;0;1;1
Le manque d'hygiène (Pas de ménage fait durant un séjour d'une semaine !!!!!!!!! )                                    Le manque de communication des médecins;0;1;0;0
Lors de la pré-admission de ma fille, j'avais signifié que j'aimerai dormir et rester avec elle car étend malade moi màªme, je ne pouvais me permettre des déplacements trop épuisant. Mais fille a été opérée le matin et devait rester en soin intensif jusqu'au lendemain. Une infirmière que je ne connaissais pas ma tout simplement mis dehors sans ménagement. C!est le seul point négatif retenu mais quand son enfant se fait opérer et que l'on se fait mettre à  la porte pas toujours facile à  gérer.;0;0;1;0
Que j'étais bien prise en charge et que ma situation peut s'améliorer;0;0;0;1
Il y avait énormément de poussière sous le lit, ce qui est dommage pour une chambre d'hôpital...;0;1;0;0
tres bon accueil, service tres professionnel et rapide;0;0;1;1
Déçu,1mois d'attente pour ce rdv pour rien vu que je vais reconsulter ailleurs perte de temps;1;0;0;0
Personnel souhaitant un autre déplacement pour une prise de sang. Attente pour prise de sang très longue. La surcharge du service de prise de sang n'est pas prise en compte. Organisation à revoir;1;0;0;0
Bon accueil et disponibilité du secrétariat <LF>Compte rendu envoyé au domicile dans un délai raisonnable <LF>Tenir à conduire donnée par le médecin et son amabilité;1;0;1;0
La coordination entre les membres du service<LF>L'extrême amabilité de l'équipe envers les patients <LF>Les qualités  humaines des membres du service (équipe de nettoyage incluse ) afin que chaque patient se sente accompagné  et écouté <LF>Les explications reçues à  tout moment;0;0;1;0
grande humanité et gentillesse de l'ensemble du personnel médecins, soignants, manipulateurs<LF>cet aspect est fondamental pour le malade;0;0;1;0
Personnel en salle d'accouchement très à l'écoute et bienveillant.;0;0;1;0
8 jours après mes analyses sanguine et urinaire je n'ai toujours pas mes résultats, alors que le médecin m'avait dit que je les aurais sous 3 jours.;0;0;0;1
Très haute compétence des chirurgiens qui ont  pratiqués l'intervention;0;0;1;1
Mieux comprendre  le traitement dessiné,  les avantages  et des possibles effects colaterales.    Envisager la possibilité  de diminuer les épisodes et améliorer la qualité de vue sans symptomatologie.;0;0;0;1
La rapidité avec laquelle le médecin m'a reçu. Je suis suivi depuis 22ans par le même praticien.;0;0;1;0
les salles d'attente archi combles et avec peu de jouets pour occuper les enfants;0;1;0;0
La bonne écoute du personnel médical;0;0;1;0
les conseils sur les soins et l'hygiène du bébé.;0;0;1;1
La gentillesse et l'accueil;0;0;1;0
Pas grand chose;0;1;0;0
Signalétique <LF>Organisation<LF>Professionnalisme;0;1;0;0
Mon néphrologue écrit à  mon cardiologue, lui-même à  la Sapê. Et c'est le service de cardiologie qui ne se donne pas la peine de communiquer avec lui. Il n'y a pas d'échanges entre médecins, mais ce n'est pas la faute de mon néphrologue, n'empêche que le patient en pà¢tit, et je fais le messager, tant bien que mal;0;0;1;0
Très bien pris en charge.;0;0;0;1
Rien ...;0;0;0;1
exellente prise en charge par le personnel et les medecins   BRAVO.;0;0;1;1
Des equipes professionnelles et efficaces.<LF>Une prise en charge rapide. J'ai eu l'impression d'etre enntre de bonnes mains.<LF><LF>J'ai apprécié le fait de pouvoir laisser mon enfant dans la nurserie pendant la nuit, afin de me reposer et qu'il soit en securité.;0;0;1;1
que  ceux qui  réclament ou sont  mécontents ,il faut  leur  en interdire  l'accès dans tous  les  hopitaux publics;0;1;0;0
rien de nègatif que de lèspoire;0;0;0;1
la qualité du service;0;0;0;1
CONFORT D ACCUEIL DE LA CHAMBRE EN HOSPITALISATION PEDIATRIE POIUR LES PARENTS QUI DORMENT AVEC LEURS ENFANTS  : 1 SEUL FAUTEUIL LIT PARENT PAR CHAMBRE, ALORS QU'IL S AGIT DE CHAMBRES DOUBLES. LA MAMAN QUI PARTAGEAIT NOTRE CHAMBRE A DORMI A MEME LE SOL SUR UN DRAP.<LF>AERATION DES CHAMBRES : IL FAIT BCP TROP CHAUD;0;1;1;0
Gentilles des médecins et de certaines infirmières;0;0;1;0
Ma demande de rendez-vous a été faite par mail, après la communication téléphonique avec le service. Bémol : pas d'accusé de réception du mail.<LF>J'ai donc envoyé par courrier 3 semaines plus tard une nouvelle demande de rdv en joignant la copie du mail initial.;1;0;0;0
Pas facile par les transports en commun, quand on a des difficultés pour marcher, et pas de places de parking.;0;1;0;0
Les signalisations sont faibles dans l'hopital qui est toujours en travaux. Je n'ai pas trouvé l'emplacement de la caisse ni les horaires d'ouverture de celle-ci. Donc, je n'ai pas payé ma consultation. Est-ce normal ?;1;1;0;0
tout était très bien (soins, équipe, allimentation).;0;0;0;1
Facilité - écoute-information.;0;0;1;0
une ecpute positive;0;0;0;1
Pour l'instant je ne peut rien dire l'opération allant avoir lieu le 10/01/2017 il faut faut voir comment ça va se passez pendant et aprés l'opération et le suivi auprés du patient mais c encourageant.;0;0;1;0
Les soins pour lesquelles ma mere a ete hospitalisee ont ete bien fait, il n y a pas eu de complication.;0;0;0;1
BONS MEDECINS PERSONNEL AIMABLE PRISE EN COMPTE DE LA DOULEUR;0;0;1;0
ON M A DIT QU EMES R2SULTATS D4EXAMEN 2TAIENT MAUVAIS QU4IL FALLAIT ALLER PLUS LOIN DANS LA RECHERCHE MAIS ON NE M4A PAS EXPLIQU2 CE QUI 2TAIT MAUVAIS;0;0;1;0
Pas de point négatifs.;0;0;0;1
J'ai été orientée en urgence par mon médecin spécialiste. J'ai eu une très bonne prise en charge. Dailleurs la mi juillet je serai reospitalisée;0;0;1;0
UN BEL ACCUEIL ET UNE PRISE CHARGE EFFICACE;0;0;1;1
le fait qu une seule personne soit en bas pour les inscriptions avant de monter dans le service, complètement débordée par le nombre de personnes en attente et les personnes qui venaient à son guichet alors que leur numéro n'était pas apparu car ils avaient attendus trop longtemps ceci génère de l'anxiété et de l'agressivité;1;0;0;0
l'alimentation;0;0;0;1
Lorsque j'ai été hospitalisée, après une admission aux urgences dans une chambre moderne et de standing, j'ai été admise dans un autre service, faute de place, très veillot et avec des moutons sous mon lit...!;1;0;0;0
beaucoup de problème à l'admission<LF>lors de la visite de l'anesthésiste, je n'étais pas programmé en salle d'opération (heureusement qu'il restait une place)<LF>le jour de l'amission, mon dossier papier était perdu, et de nouveau il y avait un problème avec la programmation de l'opération le lendemain<LF><LF>Cela a rajouter beaucoup de stress <LF>;0;1;0;0
le médecin est arrivé avec 30' de retard sans s'excuser alors qu'il s'agissait du 1er RDV de la journée - la non possibilité de RDV le samedi ou le soir;1;0;0;0
L´amabilité de tout le personnel et l´efficacité;0;0;1;0
peu d'attente pour un hôpital;0;1;0;0
Service administratif (admission et sortie) plus que désagréable et limite incompétent: attente, on nous dit que c'est pas là, on nous envoie ailleurs, re attente, re on nous dit que c'est pas là et que c'est d'où l'on vient etc etc et de façon désagréable.;1;0;0;0
